Date	Open	High	Low	Close*	Adj Close**	Volume
2023-10-13	4360.49	4377.10	4311.97	4327.78	4327.78	-
2023-10-12	3690.41	3712.00	3579.68	3583.07	3583.07	4243030000
2023-10-11	3638.65	3689.73	3638.65	3677.95	3677.95	4352780000
2023-10-10	3746.26	3762.79	3686.53	3719.98	3719.98	4483740000
2023-10-09	3703.11	3728.58	3666.51	3695.16	3695.16	4223800000
2023-10-06	3689.05	3736.00	3656.44	3665.78	3665.78	4496620000
2023-10-05	3657.10	3757.89	3647.42	3752.75	3752.75	5078020000
2023-10-04	3762.01	3810.74	3741.65	3797.34	3797.34	4747930000
2023-10-03	3799.44	3862.85	3799.44	3859.11	3859.11	4843120000
2023-10-02	3825.97	3886.15	3824.07	3830.60	3830.60	4817310000
2023-09-29	3834.69	3859.95	3803.79	3807.30	3807.30	4687320000
2023-09-28	3808.26	3905.42	3808.26	3901.06	3901.06	4459410000
2023-09-27	3881.85	3893.73	3863.18	3871.98	3871.98	4820620000
2023-09-26	3901.79	3911.79	3843.80	3856.10	3856.10	4481210000
2023-09-25	3852.90	3894.44	3758.68	3759.69	3759.69	4899000000
2023-09-22	3733.25	3750.59	3698.15	3719.89	3719.89	4625290000
2023-09-21	3766.98	3796.34	3708.84	3770.55	3770.55	5400180000
2023-09-20	3780.71	3813.95	3764.70	3806.80	3806.80	4341620000
2023-09-19	3817.02	3859.40	3786.28	3828.11	3828.11	4607640000
2023-09-18	3810.94	3818.20	3744.22	3748.57	3748.57	4645010000
2023-09-15	3859.89	3958.33	3859.89	3956.37	3956.37	5781260000
2023-09-14	3963.72	4001.48	3944.82	3992.93	3992.93	5593310000
2023-09-13	3977.97	4008.97	3956.40	3957.25	3957.25	4561930000
2023-09-12	4006.41	4028.84	3953.17	3991.73	3991.73	5015310000
2023-09-11	3976.82	3983.09	3954.34	3958.79	3958.79	4165320000
2023-09-08	3919.26	3954.33	3906.54	3946.56	3946.56	4051780000
2023-09-07	3966.39	3979.89	3935.98	3965.34	3965.34	4037360000
2023-09-06	3956.23	3962.00	3933.34	3949.94	3949.94	3850690000
2023-09-05	3965.51	4005.88	3956.88	4003.58	4003.58	3887990000
2023-09-01	4000.30	4033.78	3998.66	4027.26	4027.26	3279720000
2023-08-31	4023.34	4034.02	4020.76	4026.12	4026.12	1706460000
2023-08-30	4005.36	4012.27	3955.77	3963.94	3963.94	3615430000
2023-08-29	3964.19	3976.77	3937.65	3957.63	3957.63	3546040000
2023-08-28	3957.18	4080.11	3938.58	4080.11	4080.11	6579360000
2023-08-25	4087.14	4100.51	4050.87	4076.57	4076.57	4527130000
2023-08-24	4040.17	4080.48	4026.63	4071.70	4071.70	4012620000
2023-08-23	4052.02	4052.45	3984.49	3998.84	3998.84	4280820000
2023-08-22	3996.63	4001.51	3918.39	3941.26	3941.26	4368380000
2023-08-21	3933.28	3957.57	3922.68	3933.92	3933.92	4118050000
2023-08-18	3947.79	3974.19	3935.83	3963.51	3963.51	4006900000
2023-08-17	3954.17	3977.02	3933.04	3934.38	3934.38	3888260000
2023-08-16	3939.29	3990.71	3935.30	3990.56	3990.56	3904130000
2023-08-15	4069.38	4100.96	3993.03	4019.65	4019.65	5079360000
2023-08-14	4015.54	4053.76	3965.65	3995.32	3995.32	4472340000
2023-08-11	3958.37	3958.37	3879.45	3895.75	3895.75	4493900000
2023-08-10	3890.91	3890.91	3827.91	3852.36	3852.36	7493660000
2023-08-09	3853.79	3854.86	3800.04	3817.66	3817.66	3969610000
2023-08-08	3810.47	3838.24	3795.62	3821.62	3821.62	3985370000
2023-08-07	3839.49	3889.82	3839.49	3878.44	3878.44	3775200000
2023-08-04	3853.26	3853.26	3764.49	3822.39	3822.39	3956950000
2023-08-03	3815.11	3845.80	3797.01	3844.82	3844.82	2819280000
2023-08-02	3843.34	3846.65	3813.22	3829.25	3829.25	3030300000
2023-08-01	3829.56	3848.32	3780.78	3783.22	3783.22	3083520000
2023-07-31	3805.45	3858.19	3805.45	3849.28	3849.28	3003680000
2023-07-28	3829.06	3839.85	3800.34	3839.50	3839.50	2979870000
2023-07-27	3853.29	3878.46	3794.33	3824.14	3824.14	3959140000
2023-07-26	3840.36	3873.16	3815.77	3852.97	3852.97	4414080000
2023-07-25	3839.74	3839.74	3802.42	3808.10	3808.10	3893450000
2023-07-24	3823.37	3906.19	3809.56	3895.08	3895.08	3923560000
2023-07-21	3910.82	3950.57	3890.42	3892.09	3892.09	4311770000
2023-07-20	3888.57	3919.83	3877.29	3919.25	3919.25	3851030000
2023-07-19	3932.35	3970.07	3928.54	3969.61	3969.61	4303360000
2023-07-18	3977.57	3997.76	3937.56	3983.17	3983.17	4440260000
2023-07-17	3960.60	4003.95	3947.67	3999.09	3999.09	3939700000
2023-07-14	3999.28	4015.39	3984.57	3990.97	3990.97	4235560000
2023-07-13	4002.25	4014.16	3926.59	3928.86	3928.86	4298710000
2023-07-12	3911.84	3922.94	3885.54	3898.85	3898.85	3991500000
2023-07-11	3909.04	3972.96	3897.86	3972.61	3972.61	4013360000
2023-07-10	3978.14	4039.31	3971.64	4019.81	4019.81	3945210000
2023-07-07	4001.74	4023.92	3989.79	4016.95	4016.95	3320430000
2023-07-06	3982.71	4019.55	3949.06	4016.22	4016.22	3724020000
